slate_date,slate_label,selection,matchup,game_time,market,recommended_side,recommendation,expected_count,reference_line,line_gap,probability_over,model_probability,confidence,projection_note,status,generated_at
2026-06-10,"June 10, 2026",NRFI,Texas Rangers at Kansas City Royals,7:40 PM ET,nrfi,NRFI,NRFI,NA,0.5,NA,0.5218958863702836,0.5218958863702836,12.4,Seth Lugo vs MacKenzie Gore,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Jonathan Aranda,Boston Red Sox at Tampa Bay Rays,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.744713581090136,1.5,0.24471358109013597,0.5205122122096878,0.5205122122096878,12.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Jordan Walker,St. Louis Cardinals at New York Mets,7:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7339326578821794,1.5,0.23393265788217943,0.5172187136786733,0.5172187136786733,11.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Jesús Luzardo,Philadelphia Phillies at Toronto Blue Jays,7:07 PM ET,pitcher_strikeouts,Under,Under 5.5 K,5.414556758315049,5.5,-0.08544324168495088,0.4563822429826312,0.5436177570173688,10.6,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Otto Lopez,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7262767106321226,1.5,0.22627671063212262,0.5148707237405086,0.5148707237405086,10.4,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Carlos Rodón,New York Yankees at Cleveland Guardians,1:10 PM ET,pitcher_strikeouts,Under,Under 5.5 K,5.425754308486519,5.5,-0.0742456915134806,0.45831446267537945,0.5416855373246205,10,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",George Springer,Philadelphia Phillies at Toronto Blue Jays,7:07 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7203932136016562,1.5,0.2203932136016562,0.5130611750543558,0.5130611750543558,9.9,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",YRFI,Cincinnati Reds at San Diego Padres,4:10 PM ET,nrfi,YRFI,YRFI,NA,0.5,NA,0.48420191675545265,0.5157980832445473,9,Michael King vs Brady Singer,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",NRFI,Washington Nationals at San Francisco Giants,3:45 PM ET,nrfi,NRFI,NRFI,NA,0.5,NA,0.5143497443466011,0.5143497443466011,8.1,Robbie Ray vs Foster Griffin,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",YRFI,Chicago Cubs at Colorado Rockies,8:40 PM ET,nrfi,YRFI,YRFI,NA,0.5,NA,0.486429007158026,0.513570992841974,7.7,Michael Lorenzen vs Shota Imanaga,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",YRFI,Milwaukee Brewers at Athletics,9:05 PM ET,nrfi,YRFI,YRFI,NA,0.5,NA,0.4870573525056321,0.5129426474943679,7.3,Jack Perkins vs Brandon Sproat,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Xavier Edwards,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.6877729656686808,1.5,0.18777296566868085,0.5029476909129522,0.5029476909129522,6.7,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Jazz Chisholm Jr.,New York Yankees at Cleveland Guardians,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.6862422196047302,1.5,0.1862422196047302,0.5024697633340163,0.5024697633340163,6.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Willy Adames,Washington Nationals at San Francisco Giants,3:45 PM ET,batter_total_bases,Over,Over 1.5 TB,1.6853734405557748,1.5,0.18537344055577476,0.5021983817549588,0.5021983817549588,6.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Taylor Ward,Seattle Mariners at Baltimore Orioles,6:35 PM ET,batter_total_bases,Over,Over 1.5 TB,1.6844921574144958,1.5,0.18449215741449576,0.501922996281839,0.501922996281839,6.4,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",George Kirby,Seattle Mariners at Baltimore Orioles,6:35 PM ET,pitcher_strikeouts,Over,Over 4.5 K,4.731967210277785,4.5,0.23196721027778544,0.5112885256654156,0.5112885256654156,6.1,Probable starter · model vs reference 4.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",James Wood,Washington Nationals at San Francisco Giants,3:45 PM ET,batter_total_bases,Over,Over 1.5 TB,1.6774371497008136,1.5,0.1774371497008136,0.499714878525489,0.499714878525489,5.7,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Lars Nootbaar,St. Louis Cardinals at New York Mets,7:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.664782214754522,1.5,0.16478221475452193,0.49573829060954644,0.49573829060954644,5.3,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
